Outs,1B,2B,3B,RunEnv_,wOBA,RE,count,State,,,,,
2,0,1,0,4,0.42,0.4286,14,4,,,,,
2,0,1,0,4,0.35,0.3322,1145,4,,,,,
2,0,1,0,3.75,0.39,0.3,10,4,,,,,
2,0,1,0,4.5,0.35,0.3623,1396,4,,,,,
2,0,1,0,4,0.29,0.2309,839,4,,,,,
2,0,1,0,4.75,0.4,0.4815,27,4,,,,,
2,0,1,0,5,0.31,0.2609,70,4,,,,,
2,0,1,0,4.75,0.27,0.0714,14,4,,,,,
2,0,1,0,4,0.31,0.2673,1767,4,,,,,
2,0,1,0,4,0.41,0.5,2,4,,,,,
2,0,1,0,4,0.26,0.2222,27,4,,,,,
2,0,1,0,3.75,0.38,1,2,4,,,,,
2,0,1,0,4.25,0.34,0.3269,2135,4,,,,,
2,0,1,0,4.5,0.3,0.2641,1083,4,,,,,
2,0,1,0,4.5,0.27,0.122,82,4,,,,,
2,0,1,0,5,0.39,1.3636,11,4,,,,,
2,0,1,0,3.75,0.42,0,6,4,,,,,
2,0,1,0,4.75,0.39,0.4595,37,4,,,,,
2,0,1,0,5,0.35,0.3571,155,4,,,,,
2,0,1,0,3.75,0.34,0.363,148,4,,,,,
2,0,1,0,4.25,0.37,0.3579,739,4,,,,,
2,0,1,0,4.25,0.42,0,5,4,,,,,
2,0,1,0,4.25,0.35,0.3603,1787,4,,,,,
2,0,1,0,3.75,0.27,0,11,4,,,,,
2,0,1,0,5,0.29,0.3,20,4,,,,,
2,0,1,0,4.25,0.39,0.4199,181,4,,,,,
2,0,1,0,4.5,0.37,0.3885,558,4,,,,,
2,0,1,0,4,0.28,0.1937,351,4,,,,,
2,0,1,0,4,0.4,0.5,34,4,,,,,
2,0,1,0,3.75,0.29,0.1343,67,4,,,,,
2,0,1,0,4.5,0.26,0.1333,15,4,,,,,
2,0,1,0,4.25,0.38,0.4413,349,4,,,,,
2,0,1,0,3.75,0.33,0.2632,171,4,,,,,
2,0,1,0,3.75,0.37,1,14,4,,,,,
2,0,1,0,4.25,0.3,0.2432,1366,4,,,,,
2,0,1,0,4.75,0.36,0.3622,327,4,,,,,
2,0,1,0,4,0.39,0.4932,146,4,,,,,
2,0,1,0,3.75,0.31,0.2566,152,4,,,,,
2,0,1,0,4.5,0.4,0.5926,54,4,,,,,
2,0,1,0,5,0.32,0.3939,165,4,,,,,
2,0,1,0,4.5,0.42,0.5,4,4,,,,,
2,0,1,0,4.5,0.32,0.3292,2040,4,,,,,
2,0,1,0,4,0.25,0,6,4,,,,,
